project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
AgMonk_merge-gf-assets,evosuite,9.22,5.98,325,358,414,489,128,149,success,maven_returncode=0,765,0.765
akhunovaa_customer-service,evosuite,31.2,37.32,121,184,124,164,76,113,success,maven_returncode=0,464,0.464
alek-sys_spring-functional-microframework,evosuite,0.0,0.0,12,12,24,24,9,9,success,maven_returncode=0,57,0.057
alexandermakeev_toy-language,evosuite,53.29,45.68,333,730,603,1324,116,385,success,maven_returncode=0,2698,2.698
alexandreaquiles_dibujo,evosuite,41.03,27.22,63,103,90,183,2,24,success,maven_returncode=0,278,0.278
alkemyTech_OT275-server,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,7101,7.101
amigoscode_springboot-twilio,evosuite,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0,160,0.16
arieslab_jnose-core,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,2894,2.894
arothuis_antlr4-calculator,evosuite,31.81,15.45,122,185,255,359,71,127,success,maven_returncode=0,196,0.196
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,evosuite,16.25,0.0,43,69,146,185,19,45,success,maven_returncode=0,340,0.34
aws-samples_apache-flink-near-online-data-enrichment-patterns,evosuite,50.84,33.33,30,81,156,324,24,74,success,maven_returncode=0,663,0.663
awslabs_kinesis-kafka-connector,evosuite,50.67,59.65,54,141,203,427,13,50,success,maven_returncode=0,774,0.774
basquiat78_interface-bbuljit,evosuite,70.04,70.73,34,102,29,73,21,61,success,maven_returncode=0,257,0.257
bulinha_residencia-serratec-music-manager-api,evosuite,6.16,5.88,348,382,742,796,283,314,success,maven_returncode=0,2131,2.131
bykowski_invoice-spring-mvc-example,evosuite,80.79,0,5,22,12,50,5,22,success,maven_returncode=0,126,0.126
c-guntur_jvms-compare,evosuite,22.68,27.01,1302,1904,6516,8841,209,575,success,maven_returncode=0,828,0.828
camunda-community-hub_zeebe-worker-java-testutils,evosuite,76.28,65.0,18,137,67,276,7,115,success,maven_returncode=0,631,0.631
cfrasinaru_Graph4J,evosuite,21.2,17.19,4589,5821,10276,13189,1539,2299,success,maven_returncode=0,23362,23.362
cloudblue_xml-doclet,evosuite,44.85,53.24,116,455,372,888,51,316,success,maven_returncode=0,662,0.662
code-it-team_gotcha-be,evosuite,23.33,5.19,329,448,382,544,255,371,success,maven_returncode=0,1610,1.61
codingspecialist_Springboot-JPA-Blog,evosuite,6.59,7.14,476,514,294,309,274,297,success,maven_returncode=0,865,0.865
commoncrawl_cc-webgraph,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,1663,1.663
cxzero_CVE-2022-42889-text4shell,evosuite,3.85,0.0,10,11,21,22,8,9,success,maven_returncode=0,54,0.054
DevUpgrade-online_season-2,evosuite,24.9,13.24,114,161,236,311,83,127,success,maven_returncode=0,877,0.877
digitalpetri_strict-machine,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,808,0.808
dr-mod_tidy-flappy-bird,evosuite,63.45,46.01,160,387,353,1008,67,247,success,maven_returncode=0,1741,1.741
drasyl_netty-tun,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,1740,1.74
eBay_digital-signature-verification-ebay-api,evosuite,0.0,0.0,83,83,336,336,42,42,success,maven_returncode=0,620,0.62
eh3rrera_graphql-java-spring-boot-example,evosuite,52.13,61.76,53,114,74,139,39,80,success,maven_returncode=0,381,0.381
fatihhernn_spring-boot-ecommerce,evosuite,62.92,75.45,41,117,35,53,27,62,success,maven_returncode=0,194,0.194
FENGYU-008_ERP,evosuite,31.37,0.0,187,241,434,634,170,224,success,maven_returncode=0,1482,1.482
fireinrain_javbus-telegram-bot,evosuite,23.55,16.71,563,864,2375,3110,217,464,success,maven_returncode=0,4340,4.34
folksdev_movie-api,evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,604,0.604
francoiducat_springboot-minimal-graphql-client,evosuite,23.53,0,14,23,33,41,14,23,success,maven_returncode=0,94,0.094
GCS-ZHN_movie-on-server,evosuite,0.0,0.0,292,292,678,678,149,149,success,maven_returncode=0,1345,1.345
gofabian_junit-fixture-extension,evosuite,59.9,51.61,44,106,82,225,24,75,success,maven_returncode=0,453,0.453
GSMgeeth_medium-coffeeshop-sample,evosuite,13.61,6.67,74,87,180,208,60,72,success,maven_returncode=0,518,0.518
GuillaumeFalourd_java-training-api,evosuite,2.26,0.0,27,28,43,44,19,20,success,maven_returncode=0,132,0.132
hamitmizrak_SpringMvcSpringDataSpringRest,evosuite,3.97,4.58,393,437,574,612,267,306,success,maven_returncode=0,1425,1.425
hannotify_eleven-crazy-java-things,evosuite,95.64,100.0,3,53,6,95,3,49,success,maven_returncode=0,249,0.249
hhimanshu_spring-boot-liquibase,evosuite,65.56,0,5,17,10,31,5,17,success,maven_returncode=0,135,0.135
iainporter_spring-file-poller,evosuite,7.21,0,21,23,52,55,21,23,success,maven_returncode=0,181,0.181
IBM_ibm-ix-aem-sonarqube-plugin,evosuite,46.36,0.25,378,392,663,1075,175,189,success,maven_returncode=0,1903,1.903
itsecurityco_CVE-2022-22965,evosuite,66.13,0,3,10,8,25,3,10,success,maven_returncode=0,54,0.054
ivanjakimovski_spring-boot-pdf-generator,evosuite,86.73,0,1,6,6,30,1,6,success,maven_returncode=0,60,0.06
iwamih31_AccountBook,evosuite,68.85,41.52,229,554,544,1615,90,312,success,maven_returncode=0,2688,2.688
jckleiner_notion-backup,evosuite,21.87,8.82,136,173,291,405,54,88,success,maven_returncode=0,745,0.745
