project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
AgMonk_merge-gf-assets,native,9.22,5.98,325,358,414,489,128,149,success,maven_returncode=0,765,0.765
akhunovaa_customer-service,native,45.11,28.87,106,184,97,164,39,113,success,maven_returncode=0,464,0.464
alek-sys_spring-functional-microframework,native,0.0,0.0,12,12,24,24,9,9,success,maven_returncode=0,57,0.057
alexandermakeev_toy-language,native,76.47,55.8,314,730,242,1324,86,385,success,maven_returncode=0,2698,2.698
alexandreaquiles_dibujo,native,91.71,81.65,31,103,21,183,3,24,success,maven_returncode=0,278,0.278
alkemyTech_OT275-server,native,,,,,,,,,no_jacoco_csv,maven_returncode=1,7101,7.101
amigoscode_springboot-twilio,native,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0,160,0.16
arieslab_jnose-core,native,,,,,,,,,no_jacoco_csv,maven_returncode=1,2894,2.894
arothuis_antlr4-calculator,native,81.48,64.55,88,185,79,359,51,127,success,maven_returncode=0,196,0.196
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,native,0.0,0.0,69,69,185,185,45,45,success,maven_returncode=0,340,0.34
aws-samples_apache-flink-near-online-data-enrichment-patterns,native,0.0,0.0,81,81,324,324,74,74,success,maven_returncode=0,663,0.663
awslabs_kinesis-kafka-connector,native,0.0,0.0,141,141,427,427,50,50,success,maven_returncode=0,774,0.774
basquiat78_interface-bbuljit,native,5.71,0.0,91,102,60,73,50,61,success,maven_returncode=0,257,0.257
bulinha_residencia-serratec-music-manager-api,native,17.09,0.0,345,382,690,796,277,314,success,maven_returncode=0,2131,2.131
bykowski_invoice-spring-mvc-example,native,49.72,0,14,22,22,50,14,22,success,maven_returncode=0,126,0.126
c-guntur_jvms-compare,native,0.37,0.0,1896,1904,8802,8841,567,575,success,maven_returncode=0,828,0.828
camunda-community-hub_zeebe-worker-java-testutils,native,77.46,55.0,56,137,74,276,39,115,success,maven_returncode=0,631,0.631
cfrasinaru_Graph4J,native,52.42,45.44,3389,5821,6207,13189,1095,2299,success,maven_returncode=0,23362,23.362
cloudblue_xml-doclet,native,89.32,71.94,110,455,106,888,47,316,success,maven_returncode=0,662,0.662
code-it-team_gotcha-be,native,45.32,5.84,251,448,248,544,177,371,success,maven_returncode=0,1610,1.61
codingspecialist_Springboot-JPA-Blog,native,1.93,0.0,505,514,305,309,288,297,success,maven_returncode=0,865,0.865
commoncrawl_cc-webgraph,native,,,,,,,,,no_jacoco_csv,maven_returncode=1,1663,1.663
cxzero_CVE-2022-42889-text4shell,native,7.69,0.0,9,11,20,22,7,9,success,maven_returncode=0,54,0.054
DevUpgrade-online_season-2,native,35.59,38.24,120,161,224,311,91,127,success,maven_returncode=0,877,0.877
digitalpetri_strict-machine,native,,,,,,,,,no_jacoco_csv,maven_returncode=1,808,0.808
dr-mod_tidy-flappy-bird,native,0.0,0.0,387,387,1008,1008,247,247,success,maven_returncode=0,1741,1.741
drasyl_netty-tun,native,,,,,,,,,no_jacoco_csv,maven_returncode=1,1740,1.74
eBay_digital-signature-verification-ebay-api,native,67.22,61.11,41,83,116,336,18,42,success,maven_returncode=0,620,0.62
eh3rrera_graphql-java-spring-boot-example,native,29.83,5.88,85,114,95,139,51,80,success,maven_returncode=0,381,0.381
fatihhernn_spring-boot-ecommerce,native,14.46,1.82,107,117,25,53,53,62,success,maven_returncode=0,194,0.194
FENGYU-008_ERP,native,34.2,0.0,176,241,420,634,159,224,success,maven_returncode=0,1482,1.482
fireinrain_javbus-telegram-bot,native,0.0,0.0,864,864,3110,3110,464,464,success,maven_returncode=0,4340,4.34
folksdev_movie-api,native,,,,,,,,,no_jacoco_csv,maven_returncode=1,604,0.604
