project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
abuijze_bike-rental-demo,native+evosuite,63.953,40.0,33,91,62,135,27,81,success,maven_returncode=0,381,0.381
AgMonk_merge-gf-assets,native+evosuite,9.221,5.981,325,358,414,489,128,149,success,maven_returncode=0,765,0.765
akhunovaa_customer-service,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,464,0.464
alexandreaquiles_dibujo,native+evosuite,99.161,91.772,13,103,2,183,0,24,success,maven_returncode=0,278,0.278
alkemyTech_OT275-server,native+evosuite,,,,,,,,,no_jacoco_csv,maven_returncode=1,7101,7.101
amigoscode_springboot-twilio,native+evosuite,0.0,0.0,24,24,55,55,23,23,success,maven_returncode=0,160,0.16
anicetkeric_aws-cognito-spring-auth-server,native+evosuite,38.677,17.623,200,312,187,344,99,190,success,maven_returncode=0,826,0.826
artmcoder_Buysell,native+evosuite,46.154,0,2,4,3,5,2,4,success,maven_returncode=0,19,0.019
ashrawan_apache-poi-chart-sample,native+evosuite,37.853,45.261,276,597,1130,1586,98,283,success,maven_returncode=0,2412,2.412
aws-samples_amazon-appflow-custom-jdbc-connector,native+evosuite,15.965,3.604,92,125,374,445,24,56,success,maven_returncode=0,863,0.863
aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,native+evosuite,16.248,0.0,43,69,146,185,19,45,success,maven_returncode=0,340,0.34
awslabs_kinesis-kafka-connector,native+evosuite,51.245,60.819,52,141,202,427,13,50,success,maven_returncode=0,774,0.774
basquiat78_interface-bbuljit,native+evosuite,72.468,70.732,30,102,23,73,17,61,success,maven_returncode=0,257,0.257
bulinha_residencia-serratec-music-manager-api,native+evosuite,7.028,6.618,345,382,732,796,280,314,success,maven_returncode=0,2131,2.131
bykowski_invoice-spring-mvc-example,native+evosuite,84.181,0,4,22,9,50,4,22,success,maven_returncode=0,126,0.126
code-it-team_gotcha-be,native+evosuite,35.871,5.195,281,448,303,544,207,371,success,maven_returncode=0,1610,1.61
cxzero_CVE-2022-42889-text4shell,native+evosuite,7.692,0.0,9,11,20,22,7,9,success,maven_returncode=0,54,0.054
DevUpgrade-online_season-2,native+evosuite,48.117,50.0,85,161,175,311,59,127,success,maven_returncode=0,877,0.877
dr-mod_tidy-flappy-bird,native+evosuite,62.76,45.652,159,387,358,1008,66,247,success,maven_returncode=0,1741,1.741
eBay_digital-signature-verification-ebay-api,native+evosuite,67.218,61.111,41,83,116,336,18,42,success,maven_returncode=0,620,0.62
eh3rrera_graphql-java-spring-boot-example,native+evosuite,56.392,63.235,50,114,69,139,36,80,success,maven_returncode=0,381,0.381
ErgunAhmet_DataJpaYt,native+evosuite,3.147,0.0,431,447,364,407,225,241,success,maven_returncode=0,1077,1.077
fatihhernn_spring-boot-ecommerce,native+evosuite,62.918,75.455,41,117,35,53,27,62,success,maven_returncode=0,194,0.194
FENGYU-008_ERP,native+evosuite,34.472,0.0,174,241,418,634,157,224,success,maven_returncode=0,1482,1.482
fireinrain_javbus-telegram-bot,native+evosuite,30.686,23.214,513,864,2166,3110,187,464,success,maven_returncode=0,4340,4.34
folksdev_movie-api,native+evosuite,5.003,0.0,181,189,358,371,163,171,success,maven_returncode=0,604,0.604
francoiducat_springboot-minimal-graphql-client,native+evosuite,34.641,0,10,23,27,41,10,23,success,maven_returncode=0,94,0.094
gabrieldim_CSV-Export-Spring-Boot,native+evosuite,32.0,100.0,8,17,25,42,8,16,success,maven_returncode=0,102,0.102
gabrieldim_Email-Sender-Spring-Boot,native+evosuite,62.963,0,2,6,7,20,2,6,success,maven_returncode=0,47,0.047
gabrieldim_PDF-Generator-Spring-Boot,native+evosuite,86.598,0,1,6,6,30,1,6,success,maven_returncode=0,62,0.062
gavinklfong_spring-investment-platform,native+evosuite,28.369,5.581,324,451,62,148,109,236,success,maven_returncode=0,342,0.342
GCS-ZHN_movie-on-server,native+evosuite,12.467,7.857,260,292,582,678,120,149,success,maven_returncode=0,1345,1.345
GSMgeeth_medium-coffeeshop-sample,native+evosuite,33.554,6.667,64,87,126,208,50,72,success,maven_returncode=0,518,0.518
GuillaumeFalourd_java-training-api,native+evosuite,6.767,0.0,25,28,41,44,17,20,success,maven_returncode=0,132,0.132
hamitmizrak_AllSpringBlogProject,native+evosuite,13.748,13.636,175,215,164,194,108,138,success,maven_returncode=0,586,0.586
hamitmizrak_SpringMvcSpringDataSpringRest,native+evosuite,1.765,0.0,406,437,580,612,275,306,success,maven_returncode=0,1425,1.425
hannotify_eleven-crazy-java-things,native+evosuite,95.641,100.0,3,53,6,95,3,49,success,maven_returncode=0,249,0.249
hhimanshu_spring-boot-liquibase,native+evosuite,94.444,0,1,17,2,31,1,17,success,maven_returncode=0,135,0.135
innoq_cookie-based-session-springboot-app,native+evosuite,59.949,55.882,26,76,83,194,17,59,success,maven_returncode=0,431,0.431
itsecurityco_CVE-2022-22965,native+evosuite,70.968,0,2,10,7,25,2,10,success,maven_returncode=0,54,0.054
ivanjakimovski_spring-boot-pdf-generator,native+evosuite,86.735,0,1,6,6,30,1,6,success,maven_returncode=0,60,0.06
iwamih31_AccountBook,native+evosuite,68.303,40.402,234,554,567,1615,90,312,success,maven_returncode=0,2688,2.688
janlely_jparser,native+evosuite,91.405,81.405,106,854,77,1096,44,609,success,maven_returncode=0,1901,1.901
jeonjeunghoon_Kculter,native+evosuite,4.037,7.273,411,441,1313,1369,334,358,success,maven_returncode=0,2771,2.771
jonashackt_spring-boot-buildpack,native+evosuite,78.571,0,2,8,3,13,2,8,success,maven_returncode=0,41,0.041
jsalonl_interceptor-springboot,native+evosuite,56.925,62.5,44,102,41,112,41,98,success,maven_returncode=0,314,0.314
juliengalet_reactor-flow,native+evosuite,99.504,96.875,12,386,7,800,7,305,build_with_test_issues,maven_returncode=1,1956,1.956
kanajin_Aqua-docker,native+evosuite,6.976,1.176,16356,17257,10863,12974,9142,9985,success,maven_returncode=0,27852,27.852
Katibat_java-filmorate,native+evosuite,20.322,15.873,256,330,287,425,145,204,success,maven_returncode=0,1082,1.082
kiberohrannik_webflux-log,native+evosuite,62.083,77.027,56,192,142,397,47,155,success,maven_returncode=0,1027,1.027
kousen_questjpa,native+evosuite,95.53,98.333,9,145,11,216,8,115,success,maven_returncode=0,615,0.615
koushikkothagal_ipl-dashboard,native+evosuite,90.274,90.0,12,108,19,214,11,103,success,maven_returncode=0,527,0.527
koushikkothagal_spring-boot-security,native+evosuite,0.0,0,10,10,24,24,10,10,success,maven_returncode=0,61,0.061
kriscfoster_spring-boot-testing-pyramid,native+evosuite,83.871,0,1,6,2,9,1,6,success,maven_returncode=0,33,0.033
kyungseo_project-web-starter,native+evosuite,25.814,42.637,1895,2759,3959,5602,1351,1835,success,maven_returncode=0,12472,12.472
liuhongdi_ratelimiter,native+evosuite,10.297,0.0,45,54,118,134,41,50,success,maven_returncode=0,315,0.315
lyubenblagoev_postfix-rest-server,native+evosuite,14.849,8.235,457,531,916,1106,376,446,success,maven_returncode=0,2770,2.77
maciejwalkowiak_paseq-maven-plugin,native+evosuite,97.174,92.0,4,62,4,120,0,37,success,maven_returncode=0,246,0.246
mariamihai_spring-security-amigoscode-tutorial,native+evosuite,67.424,0.0,20,73,62,191,18,71,success,maven_returncode=0,515,0.515
markbdsouza_hateoas-with-pagination,native+evosuite,21.739,0.0,23,36,38,56,21,34,success,maven_returncode=0,207,0.207
martinachov_hexagonal-architecture-ddd-springboot,native+evosuite,36.933,0.0,43,79,41,65,42,78,success,maven_returncode=0,237,0.237
max-jang_korea-music-chart-api,native+evosuite,5.964,0.0,191,203,283,312,103,115,success,maven_returncode=0,594,0.594
meteergin_medium-java-streams,native+evosuite,98.68,95.238,3,58,2,102,1,37,success,maven_returncode=0,144,0.144
micw_tibber-pulse-reader,native+evosuite,84.476,71.191,90,372,211,866,28,190,success,maven_returncode=0,1727,1.727
MikeAScott_spring-todo-list,native+evosuite,4.013,0.0,31,35,72,76,30,34,success,maven_returncode=0,193,0.193
milpol_gorilla4j,native+evosuite,96.409,95.0,5,94,8,251,0,44,success,maven_returncode=0,501,0.501
mmarcosab_rabbitmq-example,native+evosuite,38.017,0.0,7,17,20,32,5,15,success,maven_returncode=0,113,0.113
Mozenn_spring-boot-hibernate-search,native+evosuite,8.914,7.895,83,91,74,87,48,53,success,maven_returncode=0,260,0.26
MrGraversen_minecraft-rcon,native+evosuite,83.576,69.725,57,433,177,1035,36,378,success,maven_returncode=0,2483,2.483
MSmirnov2407_Filmorate,native+evosuite,33.652,7.955,135,194,357,558,92,150,success,maven_returncode=0,1256,1.256
